pose,mean_ax_raw,mean_ay_raw,mean_az_raw,section,calib_ax_mps2,calib_ay_mps2,calib_az_mps2,mag_mps2,err_vs_g_mps2
+X вверх,-16006.65295887663,-329.88565697091275,-1685.8665997993983,six_pose_means,,,,,
-X вверх,17060.42928786359,-304.5506519558676,-682.494483450351,six_pose_means,,,,,
+Y вверх,20.707121364092277,-16928.615847542627,-1279.2457372116348,six_pose_means,,,,,
-Y вверх,327.60180541624874,16027.187562688065,-197.30290872617854,six_pose_means,,,,,
+Z вверх,-42.753259779338016,-102.10531594784354,15485.819458375125,six_pose_means,,,,,
-Z вверх,980.1634904714142,-9.296890672016048,-17916.50852557673,six_pose_means,,,,,
+X,,,,six_pose_verify,9.80665,-0.0719098030869339,-0.2762828520636868,9.810804628399469,0.004154628399469118
-X,,,,six_pose_verify,-9.80665,-0.0869876650245169,0.3128808235652619,9.812025554701806,0.0053755547018070615
+Y,,,,six_pose_verify,0.30023455287435646,9.80665,-0.037521740322485606,9.81131657272542,0.0046665727254211475
-Y,,,,six_pose_verify,0.11820405312218857,-9.80665,0.5977773708092047,9.8255633022095,0.01891330220950138
+Z,,,,six_pose_verify,0.33787523384502605,-0.20747087883970644,9.80665,9.814661892378787,0.008011892378787522
-Z,,,,six_pose_verify,-0.268854230459944,-0.26270483763002095,-9.80665,9.813851468788918,0.00720146878891903
